index,theta_res,gamma,rmse,r2,n_points
155,0.41100679892121955,0.16822530410787748,0.004405842270337609,0.9422644667565309,78
156,0.2109074936277778,0.2547125163222069,0.03359037973231408,0.8930594470221677,66
157,0.39215775174251055,0.23720902730267832,0.007897308746562876,0.9290784523091085,62
158,0.12703500676657173,0.5084519465605872,0.056558595167910806,0.8177261929869211,31
159,0.32419077086458054,0.254755109468165,0.010076224818130782,0.9684636148620227,15
160,0.39215775174251055,0.23720902730267832,0.007897308746562876,0.9290784523091085,62
161,0.1474478178674141,0.4139195359264237,0.04530455876689505,0.8997519763626032,24
162,0.30625306061339547,0.2973274674081045,0.019617756698973657,0.876529576283545,22
163,0.21491319141174234,3.9426720921350746,0.036319521818731465,0.886131011909075,37
164,0.22040530350263898,1.1011341162450856,0.03862251120048075,0.8182597237040352,46
165,0.1759032137362443,1.3685315769774635,0.031509745470868586,0.932677697350799,48
166,0.12264290952779304,4.198429951597131,0.060295365467224506,0.8722177742819307,35
167,0.0945829210242276,4.822111350611802,0.0720693945955507,0.8231807830653266,24
168,0.13984775105451439,1.0347700999890102,0.031088572773870345,0.9384202415381607,29
169,0.1023960033374829,6.4948251407247675,0.057340273413318356,0.8567319240478268,33
170,0.11980544582358989,3.9466536217123034,0.05643412006057465,0.882606028060493,26
171,0.16010368662760138,2.785191143288795,0.02694704978192714,0.955004684422401,46
172,0.1662841024997832,1.2440190417141064,0.029987879472124317,0.9457818062364798,24
173,0.09351639491463776,0.188975659942994,0.0260069678671438,0.9685603922007237,137
174,0.11396232991750686,0.23163923578968165,0.05675957982665124,0.5835732341229788,97183
175,0.1259947361001373,0.24683770559316148,0.047983235117280906,0.6695716490030851,97422
176,0.13542412163091552,0.39183057908493046,0.039662716632159825,0.8569579360824833,98433
177,0.11876352788378158,0.31349658572823663,0.04274319467668774,0.3231248365126761,56248
178,0.17532426218759173,0.4086901161668002,0.04177345351312125,0.8551741107209985,101338
179,0.1691190148766543,0.432931607262299,0.0460759655680133,0.8349653476064217,91987
180,0.20634484116725732,0.7289239998554211,0.05844991738679875,0.7649056571674154,103494
181,0.01930003266431277,2.3022554699458726,0.029004642344898923,0.9812213334027786,64
182,0.07632708501763508,0.22168579864627203,0.039249208793685104,0.9352554209988371,17
183,0.03645965511905836,1.4220951150691827,0.05805368975026126,0.9042387880122615,66
184,0.20541658565943305,2.066469559197826,0.054322859645767406,0.8096984005031883,12
185,0.22358185018522198,1.826166365874352,0.03157841763243959,0.9092879884993152,8
186,0.17012002328660328,0.4462798173936033,0.04268289021175281,0.8273963611477526,18
187,0.16363970459217275,0.9518115859369599,0.04215963625743838,0.8834498930501884,10
188,0.12494663490234152,0.4713872530370118,0.025195221613139324,0.9646231165340562,11
189,0.07047150131230649,0.32326148042260855,0.03870121188306889,0.9084743541161961,13
